사마, 94, 141
차바, 54, 192
나마, 69, 186
파타, 46, 168
타아, 63, 155
사파, 65, 171
나가, 69, 142
사사, 90, 155
나하, 46, 147
타차, 47, 159
다다, 77, 159
차타, 46, 177
하아, 44, 192
마나, 55, 169
하다, 92, 159
하타, 60, 187
아타, 55, 192
사사, 68, 184
다카, 98, 158
차사, 85, 183
타라, 40, 184
타마, 76, 153
아자, 95, 192
카파, 90, 195
차아, 75, 180
아다, 55, 173
마라, 55, 146
차바, 94, 147
자마, 43, 168
아아, 62, 182
아파, 88, 167
다아, 43, 178
타다, 57, 184
다차, 59, 144
아바, 69, 159
나가, 65, 145
다사, 77, 160
다파, 60, 177
자바, 44, 189
카라, 56, 151
다하, 85, 191
마타, 62, 142
카다, 96, 183
가차, 56, 198
가나, 82, 173
바나, 85, 151
카마, 93, 191
가라, 94, 198
사카, 53, 194
하나, 94, 166
파라, 89, 199
나라, 90, 198
라차, 79, 182
마하, 50, 142
아아, 63, 183
다자, 60, 149
마하, 44, 154
아타, 51, 166
하아, 68, 148
바사, 69, 153
자마, 89, 176
자타, 65, 194
가타, 72, 159
다바, 62, 159
라파, 76, 161
하타, 88, 172
바마, 84, 172
자자, 85, 168
바다, 84, 159
하파, 77, 199
사차, 63, 191
아바, 69, 169
마하, 82, 183
자사, 85, 157
마바, 89, 176
다차, 99, 187
카파, 91, 192
타자, 98, 173
타자, 68, 171
가마, 95, 143
타타, 83, 166
타바, 65, 168
다마, 60, 199
하자, 96, 158
하다, 85, 179
아나, 79, 140
라바, 77, 153
아타, 60, 175
하마, 87, 175
나나, 41, 156
라나, 90, 161
사아, 89, 166
바하, 60, 146
나바, 81, 141
마타, 95, 152
다다, 46, 182
타바, 75, 189
가카, 44, 186
아카, 84, 145
다파, 62, 193
가라, 41, 152
바카, 81, 168
나다, 57, 165
차사, 41, 161
가타, 56, 149
타사, 54, 157
나마, 97, 146
나마, 43, 168
바다, 80, 147
타마, 54, 158
마라, 82, 141
카마, 64, 154
타나, 92, 151
하다, 95, 185
아가, 78, 156
나바, 52, 174
가바, 72, 165
자하, 96, 148
다마, 82, 170
가마, 80, 153
자가, 87, 161
라라, 66, 140
마다, 97, 144
타마, 54, 171
나바, 99, 184
마아, 40, 185
라나, 66, 176
나마, 98, 181
카파, 67, 180
파타, 78, 194
파라, 77, 157
자마, 77, 164
아자, 43, 155
아파, 83, 193
차나, 85, 194
마라, 90, 181
자하, 59, 194
카카, 66, 165
하타, 98, 173
하사, 61, 176
다다, 46, 193
차사, 92, 152
카마, 74, 155
마사, 61, 179
자파, 87, 172
차마, 73, 194
타다, 65, 150
파타, 53, 177
카파, 45, 175
사사, 61, 163
자카, 47, 172
자가, 97, 181
가마, 99, 168
카나, 56, 176
차자, 42, 165
사타, 40, 184
자파, 75, 176
나나, 72, 158
바다, 59, 148
마라, 97, 146
파하, 73, 140
타나, 53, 156
하하, 75, 149
자아, 78, 182
아파, 51, 146
마사, 64, 181
마다, 90, 164
사나, 42, 143
라사, 74, 188
마다, 90, 178
타타, 89, 143
라자, 49, 175
차타, 61, 195
아나, 86, 161
바아, 57, 146
카마, 58, 193
카다, 75, 196
타나, 82, 165
차하, 94, 151
아바, 45, 186
하차, 97, 182
아아, 71, 156
나사, 98, 141
가하, 85, 149
바자, 73, 171
라가, 49, 182
라사, 49, 140
파파, 82, 142
타타, 70, 194
차차, 68, 145
아카, 50, 154
하차, 54, 196
다바, 42, 184
차가, 99, 169
카자, 67, 199
다라, 69, 175
마타, 77, 174
사아, 81, 140
아가, 77, 199
나카, 86, 167
라하, 51, 147
나카, 81, 169
마아, 40, 157
사가, 86, 153
파자, 55, 181
사라, 49, 142
다타, 42, 198
사다, 54, 197
카다, 46, 166
아가, 82, 181
다파, 45, 143
카차, 48, 191
자사, 46, 197
가하, 95, 143
가아, 43, 146
바차, 53, 186
아가, 91, 153
카자, 49, 181
바자, 49, 169
마파, 82, 199
다차, 57, 188
가다, 80, 146
파카, 74, 175
바하, 84, 182
라라, 65, 186
차마, 95, 161
자바, 86, 166
나파, 99, 176
라나, 94, 174
하가, 50, 170
하차, 83, 178
바바, 64, 150
자다, 70, 167
사차, 71, 186
자가, 87, 184
사나, 86, 157
자아, 88, 169
나아, 70, 196
다마, 70, 176
카라, 51, 182
하라, 65, 158
바차, 89, 177
라사, 73, 153
마아, 98, 197
아자, 78, 181
아바, 83, 153
라하, 85, 173
사바, 51, 142
카차, 78, 152
자차, 53, 160
마아, 42, 187
타다, 51, 160
바아, 70, 194
차다, 79, 157
다바, 45, 160
차파, 67, 169
가바, 67, 173
자파, 84, 144
차사, 52, 183
타나, 96, 149
다라, 92, 171
카라, 83, 172
타라, 75, 172
가바, 69, 155
타라, 52, 190
라마, 74, 179
하사, 65, 186
다가, 67, 141
타바, 64, 152
아바, 99, 153
가다, 66, 186
마라, 44, 143
나라, 89, 148
가카, 54, 159
하사, 76, 188
하차, 52, 144
아차, 79, 141
다하, 89, 159
나자, 89, 192
라파, 73, 144
가차, 61, 188
차파, 47, 157
가사, 69, 178
차가, 50, 196
아차, 95, 180
나마, 65, 198
하아, 43, 147
하자, 75, 141
가카, 41, 141
라마, 77, 162
하바, 76, 140
아파, 91, 195
바차, 87, 167
사바, 51, 194
차라, 92, 173
파자, 54, 198
다사, 92, 157
라타, 98, 172
아가, 67, 181
바마, 68, 156
아카, 83, 190
타바, 78, 150
다다, 48, 154
차카, 79, 142
자다, 75, 168
카파, 53, 187
차하, 77, 157
차나, 52, 175
마차, 49, 195
카바, 74, 170
아나, 45, 169
타바, 90, 192
라사, 93, 182
다차, 67, 181
바마, 88, 142
라다, 45, 155
마파, 90, 149
가타, 43, 145
하바, 75, 146
마다, 99, 190
다차, 47, 148
마자, 97, 149
아자, 66, 147
아바, 55, 198
나아, 49, 159
차타, 69, 152
차마, 93, 162
바타, 58, 153
다카, 47, 171
아가, 87, 199
다자, 66, 166
다자, 54, 189
다하, 56, 149
가가, 89, 198
바카, 60, 169
사자, 95, 150
타사, 71, 173
나하, 95, 145
라타, 75, 156
다타, 64, 197
카파, 95, 161
하다, 62, 147
바타, 69, 167
사바, 82, 167
타마, 73, 144
자자, 48, 195
카다, 98, 143
마하, 63, 167
하타, 54, 144
다나, 42, 158
자마, 41, 141
카바, 90, 169
카타, 68, 168
하아, 40, 161
차카, 88, 183
다타, 98, 173
라다, 86, 149
마마, 83, 179
라라, 77, 150
가차, 70, 153
사나, 44, 194
마차, 96, 150
하사, 65, 166
차카, 57, 190
마카, 46, 175
타가, 99, 144
가파, 45, 182
마바, 86, 187
나카, 90, 153
차파, 75, 180
